iter	Logloss
0	0.6907401236
1	0.6885999873
2	0.6861118636
3	0.684116241
4	0.6821074755
5	0.6803398199
6	0.6777465974
7	0.6763410375
8	0.674401312
9	0.6732023281
10	0.6712465446
11	0.6695416074
12	0.6682986926
13	0.6669101998
14	0.6652828069
15	0.6640110594
16	0.6622617574
17	0.6604209761
18	0.6585648313
19	0.6580244365
20	0.6565524159
21	0.6548563816
22	0.6534844376
23	0.6524595568
24	0.6512068615
25	0.649785238
26	0.6485374721
27	0.647058818
28	0.6458165779
29	0.6452368676
30	0.644062407
31	0.6435342073
32	0.6427604047
33	0.6416896364
34	0.6399410031
35	0.638680507
36	0.6374377484
37	0.636612224
38	0.636300074
39	0.6359163308
40	0.6351100683
41	0.6343972121
42	0.6339004288
43	0.6332061168
44	0.6323090623
45	0.6313036996
46	0.6301386438
47	0.6293260497
48	0.6275104782
49	0.6271481662
50	0.626238414
51	0.6254657765
52	0.6237320169
53	0.6224393246
54	0.6216663166
55	0.6208409059
56	0.6199508975
57	0.619392264
58	0.6186880023
59	0.6174971503
60	0.6161247963
61	0.6148520494
62	0.6145913184
63	0.614093533
64	0.6132304709
65	0.6127506242
66	0.6118876669
67	0.610454299
68	0.6094414484
69	0.6084230187
70	0.6075998102
71	0.6073969183
72	0.6063089639
73	0.6055630241
74	0.6046068078
75	0.6040325076
76	0.603244249
77	0.6025443053
78	0.6023372859
79	0.6015185884
