iter	Passed	Remaining
0	0	57
1	1	59
2	2	58
3	3	59
4	3	58
5	4	56
6	5	55
7	6	54
8	6	55
9	7	55
10	8	53
11	9	51
12	10	54
13	11	54
14	12	52
15	12	50
16	13	49
17	13	47
18	14	46
19	14	44
20	15	43
21	16	42
22	16	40
23	17	39
24	17	38
25	18	37
26	18	36
27	19	35
28	19	34
29	20	34
30	21	33
31	21	32
32	22	31
33	23	31
34	24	31
35	24	30
36	25	29
37	26	29
38	27	28
39	28	28
40	28	27
41	29	26
42	29	25
43	30	24
44	30	23
45	31	23
46	31	22
47	32	21
48	33	20
49	33	20
50	34	19
51	34	18
52	35	18
53	36	17
54	36	16
55	37	16
56	38	15
57	39	15
58	40	14
59	41	13
60	42	13
61	43	12
62	43	11
63	44	11
64	44	10
65	45	9
66	46	8
67	46	8
68	47	7
69	47	6
70	48	6
71	49	5
72	49	4
73	50	4
74	50	3
75	51	2
76	52	2
77	53	1
78	54	0
79	54	0
