policy,n_features,pf,dd,avg_r,trades,ret,mc_prob_ruin
h1_native_6,6,1.6001587219925002,0.2706574463928747,0.07727717034356676,4988,4.184450031179984,0.0003
h1_plus_new_all,19,1.519109966285453,0.2620500956933034,0.0771221750308977,4946,3.7643978531192133,0.0004
h1_plus_price_return,9,1.4710692403055585,0.3694665203684161,0.07441733736242725,4935,3.5126086544863755,0.0006
h1_plus_volume,8,1.4226807305440403,0.42305601985772967,0.06840597231433813,4969,3.273394671461874,0.0023
h1_plus_liquidity,9,1.5056644829545365,0.29465787242775465,0.08730780458787028,4969,4.04000798647605,0.0057
h1_plus_mean_reversion,8,1.5630223479519572,0.35573096094534323,0.0758250589124403,5047,4.222955628289758,0.001
h1_plus_momentum_new,9,1.555874876578549,0.35012381758374217,0.08081208298453749,4925,4.011149112615959,0.0015
h1_plus_momentum_lib,11,1.4533498387358235,0.36437855418996873,0.07973058859835269,4923,3.2491565468437273,0.0005
h1_plus_candle_lib,12,1.4849659402683861,0.47944925079517525,0.07441069594592074,4974,3.574782956344863,0.0002
engine_v1_35,35,1.52585283655513,0.460566868380823,0.08400401669957178,4888,3.902958155836336,0.0025
engine_ext_48,48,1.416694993321249,0.6657055400535784,0.07024173061228917,4975,3.319053456374988,0.0069
