feature_a,feature_b,group_a,group_b,pearson,spearman
rolling_zscore,rolling_mean_distance,statistical,statistical,1.0,1.0
atr_percentile_252,volatility_regime_score,volatility,volatility,0.9999999999999996,1.0
rolling_percentile,rolling_rank,statistical,statistical,0.9999898049630624,0.9999898116513186
rolling_volatility,rolling_std,volatility,statistical,0.9999367644356639,0.9999971724146288
body_percent,body_rank,candle,candle,0.986541613496285,0.9884007294493072
ema50_distance_percent,ema50_slope,trend,trend,0.9759826469298459,0.9759616393916277
macd_histogram_zscore,macd_signal_distance,momentum,momentum,0.9488757353769371,0.9680331147562498
ema20_distance_percent,ema20_slope,trend,trend,0.9452757788159883,0.942028387343197
ema50_distance_atr,macd_normalized,trend,momentum,0.9421240251185324,0.9431782792330952
atr_percent,rolling_std,volatility,statistical,0.9408322932643335,0.8406366291387111
atr_percent,rolling_volatility,volatility,volatility,0.9400460953590822,0.8406684185679042
rolling_rank,rolling_mean_distance,statistical,statistical,0.9153540894411831,0.9719078547877068
rolling_zscore,rolling_rank,statistical,statistical,0.9153540894411831,0.9719078547877068
rolling_zscore,rolling_percentile,statistical,statistical,0.9153465528753186,0.9719038779293284
rolling_percentile,rolling_mean_distance,statistical,statistical,0.9153465528753186,0.9719038779293284
ema50_distance_percent,ema20_slope,trend,trend,0.9064930876255093,0.8830701034252748
ema20_distance_percent,ema50_distance_percent,trend,trend,0.9039324529267792,0.8772788760701643
ema20_slope,ema50_slope,trend,trend,0.9033571358220137,0.8779544472939432
ema20_distance_percent,roc_12,trend,momentum,0.9013273993318112,0.8687730315331073
ema50_distance_atr,ema_alignment_score,trend,trend,0.8664445906821054,0.9163105917077471
ema50_distance_atr,ema50_distance_percent,trend,trend,0.7951212238106016,0.9748138202351033
ema20_distance_atr,ema20_distance_percent,trend,trend,0.7912465443278043,0.9769708849430829
ema50_distance_atr,ema50_slope,trend,trend,0.7817267675605445,0.9540673634364389
ema50_slope,macd_normalized,trend,momentum,0.7757237833891885,0.9465616630710785
ema20_distance_atr,ema20_slope,trend,trend,0.7524006763973242,0.9254619043813453
ema50_distance_percent,macd_normalized,trend,momentum,0.7482249762685,0.9196775787882775
ema50_distance_percent,ema_alignment_score,trend,trend,0.6810845091103964,0.9031397726270336
