,ema20_distance_atr,ema50_distance_atr,ema20_distance_percent,ema50_distance_percent,ema_cross_distance,ema20_slope,ema50_slope,ema_trend_duration,ema_alignment_score,atr_percent,atr_percentile_252,rolling_volatility,volatility_rank,volatility_regime_score,macd_normalized,macd_histogram_zscore,macd_signal_distance,momentum_rank,rsi_percentile,roc_3,roc_12,momentum_acceleration,body_percent,upper_wick_percent,lower_wick_percent,close_position,range_percent,body_rank,hour_sin,hour_cos,day_sin,day_cos,rolling_zscore,rolling_percentile,rolling_rank,rolling_quantile,rolling_std,rolling_mean_distance
ema20_distance_atr,1.0,0.8981280990625558,0.7912465443278043,0.7290802367975345,0.5640358102676354,0.7524006763973242,0.6764581874164194,0.025696951497465512,0.7598637292600582,-0.03920776892728547,-0.01759368191238722,-0.03174176346116873,-0.008149098965738127,-0.017593681912387436,0.7845378028330627,0.6237277033625229,0.696201764390002,0.7531682173786189,0.8477591944675652,0.5275165346214872,0.7122787614854031,0.1696377180146544,0.011090325451363415,0.039675725919482145,-0.05254363756904781,0.27028232267995633,-0.04700100668307693,0.010586478840342028,0.016719141550753353,0.00021646965782194582,-0.011389349956743733,-0.013139655193914504,0.25181629492657515,0.21888349232865065,0.21889129582748879,0.24610012100007078,-0.029859941374837055,0.25181629492657515
ema50_distance_atr,0.8981280990625558,1.0,0.7023739704844494,0.7951212238106016,0.8696868363384601,0.7077099418169892,0.7817267675605445,0.056269970400189974,0.8664445906821054,-0.04549349541865391,0.0025749536691430084,-0.03877422849663979,-0.004935104067039948,0.002574953669142773,0.9421240251185324,0.2938762304245671,0.37484577531639746,0.5017576761542241,0.6724078519030238,0.35786997658175673,0.6010836776129815,0.05699248863997617,0.00848395217066848,0.018750579938319467,-0.02879383548680371,0.17807867673039568,-0.03816266094389955,0.0073977727646602895,0.012071956962610108,-0.004256792768397467,-0.01324606646932495,-0.00543889007844753,0.10073348463388276,0.08478794006681104,0.0848014582035425,0.23865440002486732,-0.03695158243006942,0.10073348463388276
ema20_distance_percent,0.7912465443278043,0.7023739704844494,1.0,0.9039324529267792,0.43076768026364076,0.9452757788159883,0.830570417325012,0.018932662447904394,0.5844220166863183,-0.11554959317976826,-0.03946605702904014,-0.10985480274300623,-0.0409887409354532,-0.039466057029040276,0.6114685562548156,0.5237790247609863,0.5653591758335963,0.6011160775959992,0.6580198798680896,0.668083253114567,0.9013273993318112,0.21589989980714164,0.0020422158560759337,0.02775404454246745,-0.02977199348348879,0.2118402496192388,-0.14687046024198036,0.002769851581194326,0.016903436187985045,-0.00010913444112001054,-0.0018349412653624615,-0.0046048906759012485,0.19209410336403238,0.16470427489028797,0.1646980961200837,0.2588870522417282,-0.10568156731240243,0.19209410336403238
ema50_distance_percent,0.7290802367975345,0.7951212238106016,0.9039324529267792,1.0,0.6747143088818104,0.9064930876255093,0.9759826469298459,0.04209251357871368,0.6810845091103964,-0.1328414448396626,-0.02526036030695586,-0.12886191569979735,-0.0423875900343158,-0.025260360306956053,0.7482249762685,0.27004673360470505,0.3304783037592059,0.4200695188277728,0.5350177678488485,0.4611787224642658,0.7774826573465894,0.0721663152165197,0.0008409103678311552,0.011359516167243861,-0.012191613724401614,0.14599125065671703,-0.12405240435271543,0.0017823572117822617,0.011026951594582423,-0.002385035425597647,-0.00201039505010488,-0.0032496255074367284,0.07866719507415719,0.06467578621653038,0.06467336642608564,0.251774450902112,-0.12469637192848208,0.07866719507415719
ema_cross_distance,0.5640358102676354,0.8696868363384601,0.43076768026364076,0.6747143088818104,1.0,0.4843928896349232,0.7086305112675095,0.07682107257525768,0.7740935928140166,-0.041418595566036845,0.024582510190957686,-0.037181542523441996,-0.00012044199391824021,0.02458251019095733,0.8885107370006807,-0.1482672397236889,-0.07758983408683423,0.09681011264802732,0.31107676886326496,0.07988279537240248,0.32920441763597724,-0.08339579834980033,0.003481985764419136,-0.009328665103323395,0.004913981112657077,0.030993554652746804,-0.018902267762747598,0.002008073434709684,0.003901880075435833,-0.008236567964180498,-0.012089393184918036,0.0045359697273354305,-0.09350349915920457,-0.08647947016816179,-0.08646284472694936,0.17190639739411426,-0.03587125773741354,-0.09350349915920457
ema20_slope,0.7524006763973242,0.7077099418169892,0.9452757788159883,0.9064930876255093,0.4843928896349232,1.0,0.9033571358220137,0.023010320085104206,0.5972908957325741,-0.10722266772794252,-0.03900235761154819,-0.1028851705014523,-0.04145666142649114,-0.03900235761154816,0.6761538191358776,0.5125187362638972,0.5681185450691123,0.575676484355763,0.6280302999512516,0.47734956053037014,0.8957293296440239,0.04029137911329588,-0.001227417223419809,0.011924169587139712,-0.010219396558185108,0.06362963763403628,-0.10494596962910814,-0.0003650527465322742,0.015974240165914682,-0.0018562165431400264,-0.0007145723683786565,-0.00467133456686696,-0.028981800246092794,-0.03578779346982544,-0.035800321832980736,0.2729172045058949,-0.09859295504276935,-0.028981800246092794
ema50_slope,0.6764581874164194,0.7817267675605445,0.830570417325012,0.9759826469298459,0.7086305112675095,0.9033571358220137,1.0,0.04709550486537931,0.6759690636247138,-0.11059043844590397,-0.019328598786088214,-0.10778304303476174,-0.0383277913737502,-0.01932859878608847,0.7757237833891885,0.22934007727314734,0.29793240704283636,0.37362643370745535,0.4880271377344778,0.3127096100867144,0.7351598263606798,-0.04759677160052254,-0.0008655704329991001,-0.00028113413120351864,0.001333827416145199,0.04857965581669749,-0.08031435525520973,9.72301010821538e-05,0.009577999312673573,-0.0009392727284328352,-0.0016118439164169898,-0.0026577751981699768,-0.06413100639843279,-0.06422061382065686,-0.06422569631840952,0.2643504007780693,-0.10372287914128038,-0.06413100639843279
ema_trend_duration,0.025696951497465512,0.056269970400189974,0.018932662447904394,0.04209251357871368,0.07682107257525768,0.023010320085104206,0.04709550486537931,1.0,0.051630988122976805,0.025346154396362307,0.12254385055562542,0.017793941679128275,0.06122510234008186,0.12254385055562522,0.05000139543816381,-0.03267319563004682,-0.021936329308702023,-0.016512192520944838,-0.018893232920460037,0.0002232119250012204,0.010996223663632738,-0.006056774791384354,0.005783158301219459,-0.010407577245767272,0.0031627758965954117,0.007856444666059188,0.03578106626218085,0.0023272129489070354,-0.0013893121244146847,-0.01277088565330204,0.004134207835953104,-0.014677242779810253,-0.004416735963433985,-0.005354400649425944,-0.005347093630206269,0.04169860643087823,0.017688430129699326,-0.004416735963433985
ema_alignment_score,0.7598637292600582,0.8664445906821054,0.5844220166863183,0.6810845091103964,0.7740935928140166,0.5972908957325741,0.6759690636247138,0.051630988122976805,1.0,-0.05197488807003488,-0.007955796708570167,-0.04878082879018814,-0.015540696740563818,-0.007955796708570497,0.8252516591304397,0.21655479601770786,0.2952798223120307,0.4374523842089408,0.6131222105456157,0.27600104123394026,0.4976029476013784,0.02603319989345669,0.004733681593886121,0.021379285701281874,-0.02679527190606884,0.14571200888947078,-0.039290404715369744,0.0033517053405986252,0.008131346971972944,-0.004947162865449722,-0.011346284683541293,-0.017028143011951807,0.06755834964501395,0.06021043276347488,0.06022006970143394,0.19633409968213336,-0.047360917972417656,0.06755834964501395
atr_percent,-0.03920776892728547,-0.04549349541865391,-0.11554959317976826,-0.1328414448396626,-0.041418595566036845,-0.10722266772794252,-0.11059043844590397,0.025346154396362307,-0.05197488807003488,1.0,0.22861085489024088,0.9400460953590822,0.18588527247203387,0.22861085489024066,-0.04486662120825202,-0.02072238871869688,-0.015109544213256887,-0.02634239776265079,-0.032277857241407755,-0.03274685506551294,-0.07816498429925037,0.004322796641094912,0.013094861134524573,-0.023392778197478384,0.006991282730712638,0.011983875729516638,0.7626561575635453,0.00871461001481045,-0.05261065855703837,0.1948133237698899,-0.026531020104377436,0.0007085571431622789,-0.00047445891251267754,0.0014774912681569513,0.0013856326880497733,0.8177598165436442,0.9408322932643335,-0.00047445891251267754
atr_percentile_252,-0.01759368191238722,0.0025749536691430084,-0.03946605702904014,-0.02526036030695586,0.024582510190957686,-0.03900235761154819,-0.019328598786088214,0.12254385055562542,-0.007955796708570167,0.22861085489024088,1.0,0.2774732454014247,0.7018123336481883,0.9999999999999996,-0.013341532191846486,-0.0319738679822632,-0.029942075580339927,-0.04523816602564409,-0.07307048126466564,-0.011771907635684808,-0.034423999336561574,0.0055137252785751965,0.05685193037523683,-0.044595944683524305,-0.025627607787139985,0.013127180759192204,0.24390311318647126,0.04161193026950434,-0.28485213931357267,0.1662885789619114,-0.08908492490294331,-0.04962524469232642,0.00814560636896497,0.009170512312183736,0.009238605018753194,0.17120314962467853,0.2780381885199751,0.00814560636896497
rolling_volatility,-0.03174176346116873,-0.03877422849663979,-0.10985480274300623,-0.12886191569979735,-0.037181542523441996,-0.1028851705014523,-0.10778304303476174,0.017793941679128275,-0.04878082879018814,0.9400460953590822,0.2774732454014247,1.0,0.37245691836962314,0.2774732454014247,-0.0411840404827993,-0.0155877179908104,-0.0075709787401332124,-0.01783209726532649,-0.02892825975589559,-0.023773282411494786,-0.06736580761098164,0.00832943863926616,0.034399737947864724,-0.03258257296589639,-0.010006720668377692,0.01048489358731393,0.7121890199421765,0.02482693521196402,0.016582751874999618,0.1752976654056028,-0.039914740430327555,0.002391085003092037,0.0021973411355862803,0.0031150999857063586,0.003068366609441926,0.7977298184411348,0.9999367644356639,0.0021973411355862803
volatility_rank,-0.008149098965738127,-0.004935104067039948,-0.0409887409354532,-0.0423875900343158,-0.00012044199391824021,-0.04145666142649114,-0.0383277913737502,0.06122510234008186,-0.015540696740563818,0.18588527247203387,0.7018123336481883,0.37245691836962314,1.0,0.7018123336481867,-0.01778963353197407,-0.006923215772320335,-0.000476758866624124,-0.013418499833573811,-0.0409789858044959,-0.008464831659796255,-0.029330693438168656,0.005461117433445742,0.0976354202347535,-0.059568597885345874,-0.06073889778926543,0.004892933662082505,0.15727372943216517,0.07855103002060554,0.043842343360190036,0.10435136889855126,-0.0743489357305512,-0.03117798485182932,0.008042046472321285,0.008062405246294436,0.0081065864837413,0.17837401811190526,0.37337385880079194,0.008042046472321285
