feature,group,baseline,candidate
ema20_distance_atr,trend,False,True
ema50_distance_atr,trend,False,True
ema20_distance_percent,trend,False,True
ema50_distance_percent,trend,False,True
ema_cross_distance,trend,False,True
ema20_slope,trend,False,True
ema50_slope,trend,False,True
ema_trend_duration,trend,True,False
ema_alignment_score,trend,False,True
atr_percent,volatility,True,False
atr_percentile_252,volatility,True,False
rolling_volatility,volatility,False,True
volatility_rank,volatility,False,True
volatility_regime_score,volatility,False,True
macd_normalized,momentum,False,True
macd_histogram_zscore,momentum,False,True
macd_signal_distance,momentum,False,True
momentum_rank,momentum,False,True
rsi_percentile,momentum,False,True
roc_3,momentum,False,True
roc_12,momentum,False,True
momentum_acceleration,momentum,False,True
body_percent,candle,False,True
upper_wick_percent,candle,False,True
lower_wick_percent,candle,False,True
close_position,candle,False,True
range_percent,candle,False,True
body_rank,candle,False,True
hour_sin,session,True,False
hour_cos,session,True,False
day_sin,session,False,True
day_cos,session,False,True
rolling_zscore,statistical,False,True
rolling_percentile,statistical,False,True
rolling_rank,statistical,False,True
rolling_quantile,statistical,True,False
rolling_std,statistical,False,True
rolling_mean_distance,statistical,False,True
