Feature,Group,Baseline,Candidate,OOS_Contribution,Stability,Redundancy,Decision
ema20_distance_atr,trend,False,True,-0.1325,group_delta_pf,,REMOVE
ema50_distance_atr,trend,False,True,-0.1325,group_delta_pf,,REMOVE
ema20_distance_percent,trend,False,True,-0.1325,group_delta_pf,,REMOVE
ema50_distance_percent,trend,False,True,-0.1325,group_delta_pf,high_corr,REMOVE
ema_cross_distance,trend,False,True,-0.1325,group_delta_pf,,REMOVE
ema20_slope,trend,False,True,-0.1325,group_delta_pf,,REMOVE
ema50_slope,trend,False,True,-0.1325,group_delta_pf,high_corr,REMOVE
ema_trend_duration,trend,True,False,-0.1325,group_delta_pf,,KEEP
ema_alignment_score,trend,False,True,-0.1325,group_delta_pf,,REMOVE
atr_percent,volatility,True,False,-0.1684,group_delta_pf,,KEEP
atr_percentile_252,volatility,True,False,-0.1684,group_delta_pf,high_corr,KEEP
rolling_volatility,volatility,False,True,-0.1684,group_delta_pf,high_corr,REMOVE
volatility_rank,volatility,False,True,-0.1684,group_delta_pf,,REMOVE
volatility_regime_score,volatility,False,True,-0.1684,group_delta_pf,high_corr,REDUNDANT
macd_normalized,momentum,False,True,-0.2257,group_delta_pf,,REMOVE
macd_histogram_zscore,momentum,False,True,-0.2257,group_delta_pf,,REMOVE
macd_signal_distance,momentum,False,True,-0.2257,group_delta_pf,,REMOVE
momentum_rank,momentum,False,True,-0.2257,group_delta_pf,,REMOVE
rsi_percentile,momentum,False,True,-0.2257,group_delta_pf,,REMOVE
roc_3,momentum,False,True,-0.2257,group_delta_pf,,REMOVE
roc_12,momentum,False,True,-0.2257,group_delta_pf,,REMOVE
momentum_acceleration,momentum,False,True,-0.2257,group_delta_pf,,REMOVE
body_percent,candle,False,True,-0.1152,group_delta_pf,high_corr,REMOVE
upper_wick_percent,candle,False,True,-0.1152,group_delta_pf,,REMOVE
lower_wick_percent,candle,False,True,-0.1152,group_delta_pf,,REMOVE
close_position,candle,False,True,-0.1152,group_delta_pf,,REMOVE
range_percent,candle,False,True,-0.1152,group_delta_pf,,REMOVE
body_rank,candle,False,True,-0.1152,group_delta_pf,high_corr,REMOVE
hour_sin,session,True,False,-0.231,group_delta_pf,,KEEP
hour_cos,session,True,False,-0.231,group_delta_pf,,KEEP
day_sin,session,False,True,-0.231,group_delta_pf,,REMOVE
day_cos,session,False,True,-0.231,group_delta_pf,,REMOVE
rolling_zscore,statistical,False,True,-0.2291,group_delta_pf,high_corr,REMOVE
rolling_percentile,statistical,False,True,-0.2291,group_delta_pf,high_corr,REMOVE
rolling_rank,statistical,False,True,-0.2291,group_delta_pf,high_corr,REMOVE
rolling_quantile,statistical,True,False,-0.2291,group_delta_pf,,KEEP
rolling_std,statistical,False,True,-0.2291,group_delta_pf,high_corr,REMOVE
rolling_mean_distance,statistical,False,True,-0.2291,group_delta_pf,high_corr,REDUNDANT
