feature,group,n,n_finite,pct_missing,n_inf,n_unique,variance,near_zero_var,mean,std,p01,p99,definition,causal_ok,exclude_reason
ema20_distance_atr,trend,68356,68356,0.0,0,68356,1.9024783444153242,False,0.09611094475058037,1.379303572247721,-3.2159932664580535,3.430066983713161,(close - ema20) / atr14,True,
ema50_distance_atr,trend,68356,68356,0.0,0,68356,5.324270028271638,False,0.22020264046080415,2.3074379792903725,-4.961122035873931,5.450402042802242,(close - ema50) / atr14,True,
ema20_distance_percent,trend,68356,68356,0.0,0,68356,0.2866960904272277,False,0.01505208155219325,0.5354400904183658,-1.4969924242440698,1.4251375011807144,(close - ema20) / close * 100,True,
ema50_distance_percent,trend,68356,68356,0.0,0,68356,0.7439014570668071,False,0.038984890116096085,0.8624972214835287,-2.34194883683264,2.2477235134520783,(close - ema50) / close * 100,True,
ema_cross_distance,trend,68356,68356,0.0,0,68356,1.5098802059708132,False,0.12409169571022378,1.2287718282784699,-2.659295839269855,2.7884302334201627,(ema20 - ema50) / atr14,True,
ema20_slope,trend,68356,68353,4.3887881093107595e-05,0,68353,2.8692052908211994e-07,False,1.8562723000605202e-05,0.0005356496327657847,-0.0014947715434593914,0.0014579472629086664,(ema20_t - ema20_{t-3}) / 3 / |ema20|,True,
ema50_slope,trend,68356,68353,4.3887881093107595e-05,0,68353,1.1827180766222624e-07,False,1.8819354685120315e-05,0.000343906684526815,-0.0009058066136682734,0.0009325930631725893,(ema50_t - ema50_{t-3}) / 3 / |ema50|,True,
ema_trend_duration,trend,68356,68356,0.0,0,381,2891.0651505643077,False,55.42931125285271,53.76862608031107,1.0,242.0,streak length of (ema20 > ema50) regime,True,
ema_alignment_score,trend,68356,68356,0.0,0,4,0.7310367714098527,False,0.05532798876470241,0.8550068838376991,-1.0,1.0,"mean(close>ema20, close>ema50, ema20>ema50) mapped to [-1,1]",True,
atr_percent,volatility,68356,68356,0.0,0,68356,0.05647788818550358,False,0.29033214045477873,0.23765076937704951,0.11804850482644619,1.5460010920636271,atr14 / close * 100,True,
atr_percentile_252,volatility,68356,68307,0.000716835391187276,0,442,0.09654683111746978,False,0.48008476546103335,0.31071985954790493,0.003968253968253968,1.0,rolling percentile rank of atr14 over 252,True,
rolling_volatility,volatility,68356,68351,7.314646848854967e-05,0,68343,2.6853492509125595e-06,False,0.0018866247762451896,0.0016387035274608277,0.0005847059826272016,0.009752054020724347,rolling std of log returns (window 20),True,
volatility_rank,volatility,68356,68302,0.0007899818596758257,0,458,0.0913677035396229,False,0.4901490277041897,0.3022709108393047,0.001984126984126984,0.998015873015873,rolling rank of rolling_volatility,True,
volatility_regime_score,volatility,68356,68307,0.000716835391187276,0,442,0.38618732446987913,False,-0.0398304690779334,0.6214397190958099,-0.9920634920634921,1.0,(atr_percentile_252 - 0.5) * 2  [deterministic of CORE],True,DETERMINISTIC_OF:atr_percentile_252 (CORE)
macd_normalized,momentum,68356,68356,0.0,0,68356,0.5752689494428576,False,0.0661652265657631,0.7584648636837817,-1.6557538994407217,1.7743621060856813,macd / atr14,True,
macd_histogram_zscore,momentum,68356,68337,0.0002779565802563111,0,68337,1.1777705157906821,False,-0.0003022007739711151,1.0852513606490812,-2.7169461597626183,2.6763352573665027,rolling z-score of macd hist (100),True,
macd_signal_distance,momentum,68356,68356,0.0,0,68356,0.04792696495080166,False,0.0026554294604787306,0.2189222806175782,-0.5000192401926192,0.5143586902539661,(macd - signal) / atr14,True,
momentum_rank,momentum,68356,68327,0.0004242495172332994,0,220,0.0876130638589362,False,0.5011702283503825,0.2959950402607047,0.005,0.995,rolling rank of pct_change(10),True,
rsi_percentile,momentum,68356,68336,0.0002925858739539766,0,160,0.09513547507795139,False,0.506114252937257,0.308440391450198,0.01,1.0,rolling percentile of rsi14,True,
roc_3,momentum,68356,68353,4.3887881093107595e-05,0,67703,1.9081330301549454e-05,False,6.643196077606004e-05,0.004368218206723361,-0.012288759091044842,0.012356682488704567,close.pct_change(3),True,
roc_12,momentum,68356,68344,0.00017555152437243038,0,68068,7.544637206184934e-05,False,0.0002638301283541874,0.008685987109238036,-0.023528421284629255,0.02403769623321229,close.pct_change(12),True,
momentum_acceleration,momentum,68356,68347,0.00013166364327932278,0,68345,3.794934215116788e-05,False,-2.6722417494138033e-07,0.006160303738547953,-0.016616146981511173,0.016752881558809,"diff(pct_change(6), 3)",True,
