policy,year,oos,pf,dd,trades,avg_r
production_feat7_m15,2021,False,1.357289529410474,0.1788921785443115,1157,0.07408575477406203
production_feat7_m15,2022,True,1.5116790546180414,0.13719442788131755,1210,0.09499061439344894
production_feat7_m15,2023,True,1.2506356236367107,0.14709769631948932,1143,0.04315694696419648
production_feat7_m15,2024,True,1.1048935667527549,0.4234136948302807,1205,0.02371668600888901
production_feat7_m15,2025,True,1.2281913397850437,0.4241680642650988,1178,0.06262946959463966
production_feat7_m15,2026,True,1.5027894826263524,0.5380584827607544,599,0.07633713765182859
h1_immediate_m15,2021,False,1.3158160921674749,0.17158990252985784,1185,0.0658346026695723
h1_immediate_m15,2022,True,1.3099872765169804,0.17155308365243835,1207,0.06290710016050968
h1_immediate_m15,2023,True,1.4607991280424673,0.11393953902082464,1153,0.07069997425606808
h1_immediate_m15,2024,True,1.1551258713619317,0.2524644572469789,1213,0.03008147787221807
h1_immediate_m15,2025,True,1.3578077680853284,0.23691467988466577,1192,0.06985076032432014
h1_immediate_m15,2026,True,1.5868287773180663,0.3018992452973343,593,0.08181111512624702
h1_pullback_m15_proper,2021,False,1.4844818679392193,0.11817298258832948,1083,0.08662316675501984
h1_pullback_m15_proper,2022,True,1.4150442512283004,0.16787522568819477,1131,0.08149777083289116
h1_pullback_m15_proper,2023,True,1.5638294439810294,0.08872583460690424,1053,0.08390095211040512
h1_pullback_m15_proper,2024,True,1.2103696820819376,0.2727242821981358,1138,0.03820205281258395
h1_pullback_m15_proper,2025,True,1.4217684375331858,0.2097789690566866,1113,0.08190278446300979
h1_pullback_m15_proper,2026,True,1.8534204773139198,0.15760455067010823,557,0.11453641051444806
h1_pullback_m5,2021,False,1.1752425037954022,0.1333209709288862,1053,0.027929974682539365
h1_pullback_m5,2022,True,1.1133585066414338,0.2944811451968008,1120,0.019587238961729064
h1_pullback_m5,2023,True,1.2320037227550589,0.15787559473203946,1032,0.029107563969641065
h1_pullback_m5,2024,True,0.9236462925608019,0.8154348896907586,1093,-0.025486446525311065
h1_pullback_m5,2025,True,1.1232791974762435,0.40461694323087394,1098,0.024891294542943154
h1_pullback_m5,2026,True,1.4908092590648783,0.1788069306803005,545,0.06146674586343206
